q_id,doc_id,policy,retriever,budget,retrieved_chunks_count,retrieved_tokens,evidence_recall,evidence_coverage,mrr,ndcg,gpc,cma,cdf,mean_isd,mean_ibi
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-128,Dense,256,1,152,0.34065934065934067,0.0,0.0,0.0,0.4703640108837578,0.7570457032748631,0.6138011480689788,0.40342745824351106,0.12807727924415044
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-128,Dense,512,3,445,0.4725274725274725,0.0,0.0,0.0,0.4703640108837578,0.7570457032748631,0.6138011480689788,0.40342745824351106,0.12807727924415044
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-128,Dense,1024,7,1012,0.6373626373626373,0.0,0.0,0.0,0.4703640108837578,0.7570457032748631,0.6138011480689788,0.40342745824351106,0.12807727924415044
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-128,BM25,256,1,158,0.6593406593406593,0.0,0.0,0.0,0.4703640108837578,0.7570457032748631,0.6138011480689788,0.40342745824351106,0.12807727924415044
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-128,BM25,512,3,449,0.8351648351648352,0.0,0.0,0.0,0.4703640108837578,0.7570457032748631,0.6138011480689788,0.40342745824351106,0.12807727924415044
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-128,BM25,1024,6,883,0.9120879120879121,0.0,0.0,0.0,0.4703640108837578,0.7570457032748631,0.6138011480689788,0.40342745824351106,0.12807727924415044
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-256,Dense,256,1,283,0.37362637362637363,0.0,0.0,0.0,0.45231550267908827,0.7724758426348368,0.6714867618768785,0.37320722453296185,0.10376042326291403
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-256,Dense,512,1,283,0.37362637362637363,0.0,0.0,0.0,0.45231550267908827,0.7724758426348368,0.6714867618768785,0.37320722453296185,0.10376042326291403
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-256,Dense,1024,3,836,0.5714285714285714,0.0,0.0,0.0,0.45231550267908827,0.7724758426348368,0.6714867618768785,0.37320722453296185,0.10376042326291403
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-256,BM25,256,1,274,0.7362637362637363,0.0,0.0,0.0,0.45231550267908827,0.7724758426348368,0.6714867618768785,0.37320722453296185,0.10376042326291403
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-256,BM25,512,1,274,0.7362637362637363,0.0,0.0,0.0,0.45231550267908827,0.7724758426348368,0.6714867618768785,0.37320722453296185,0.10376042326291403
b6f15fb6279b82e34a5bf4828b7b5ddabfdf1d54,1912.01214,Fixed-256,BM25,1024,3,841,0.8461538461538461,0.0,0.0,0.0,0.45231550267908827,0.7724758426348368,0.6714867618768785,0.37320722453296185,0.10376042326291403
