Retriever,Intrinsic_Metric,Target_Outcome,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Spearman_95CI
Dense,GPC,Evidence_Recall,0.07233405736086888,0.21156655805141655,0.0812139085747146,0.1605832881665019,"[-0.023, 0.193]"
Dense,CMA,Evidence_Recall,0.08230289783716413,0.15502904038240906,0.05295466487529201,0.36070941055503003,"[-0.063, 0.168]"
Dense,CDF,Evidence_Recall,-0.08864186582809493,0.12553978789011766,-0.13856062859470356,0.016327264975305702,"[-0.258, -0.029]"
BM25,GPC,Evidence_Recall,-0.0017638192727696493,0.9757299156391956,0.029266360951806934,0.6136289105283856,"[-0.081, 0.145]"
BM25,CMA,Evidence_Recall,0.06694123096695806,0.24771683427453542,0.0022920282683503547,0.9684651129835329,"[-0.115, 0.117]"
BM25,CDF,Evidence_Recall,-0.006273191607410234,0.9138351956332285,-0.08653573394078323,0.13481212817191204,"[-0.203, 0.031]"
