doc_id,genre,strategy,num_chunks,avg_chunk_sentences,mean_isd,mean_ibi,document_gpc,document_cma,document_cdf
1912.01214,scientific,GoldSection,17,9.058823529411764,0.4070454211083843,0.1476044847684748,0.4783021340978131,0.780942275243647,0.6404469601321343
1912.01214,scientific,Fixed-128,28,5.5,0.40342745824351106,0.12807727924415044,0.4703640108837578,0.7570457032748631,0.6138011480689789
1912.01214,scientific,Fixed-256,15,10.466666666666667,0.37320722453296185,0.10376042326291403,0.45231550267908827,0.7724758426348368,0.6714867618768785
1912.01214,scientific,Fixed-512,9,18.444444444444443,0.331815701443702,0.09432708885934618,0.43550821170351484,0.7755556835068597,0.7133958353660811
1912.01214,scientific,Recursive-256,23,6.695652173913044,0.4064246327464428,0.14461280859034994,0.4778342947533762,0.771378245042718,0.6222492387832527
1912.01214,scientific,Semantic-75,40,3.85,0.6799030329464586,0.2616558030247688,0.5877003637696824,0.7023570522665977,0.5688813854079979
1912.01214,scientific,RandomMatched,17,9.058823529411764,0.46454119137899186,0.1448044654201059,0.4893189547737529,0.7827106679187101,0.6473915407372522
1912.01214,scientific,ShuffledNull,17,9.058823529411764,0.3300166072885451,0.09762283809044782,0.435733889432554,0.6807257357765647,0.6754604076821584
1810.08699,scientific,GoldSection,12,9.75,0.33806121414333273,0.1650194376707077,0.46574613899577405,0.8128879715998968,0.6305979876388829
1810.08699,scientific,Fixed-128,20,5.9,0.3267696751630865,0.16479631811380385,0.4622937936818928,0.7965636074542999,0.5922528327765471
1810.08699,scientific,Fixed-256,11,11.0,0.2899460524997928,0.11914196610450745,0.4335583377930491,0.8293993798169222,0.6489205134848693
1810.08699,scientific,Fixed-512,6,20.833333333333332,0.2570355359154443,0.09504439930121104,0.4142935217981551,0.8002539277076721,0.727985871999389
1810.08699,scientific,Recursive-256,19,6.157894736842105,0.3569870103260894,0.1784572256238837,0.47237335668602604,0.7783754656189367,0.5958734583523144
1810.08699,scientific,Semantic-75,30,3.9,0.6677942475901849,0.3222545246283213,0.6068181791447139,0.7251075774431228,0.5636918470251915
1810.08699,scientific,RandomMatched,12,9.75,0.3639039096888155,0.16408908615509668,0.4649264349650752,0.7639929677049319,0.6249602810192972
1810.08699,scientific,ShuffledNull,12,9.75,0.23929723006828377,0.1256801187992096,0.42120991124665785,0.641018234193325,0.6543411734597769
1609.00425,scientific,GoldSection,11,18.90909090909091,0.3558820170265707,0.11214927380735223,0.44947860885587776,0.8130328817801042,0.6753179334250267
1609.00425,scientific,Fixed-128,31,6.774193548387097,0.34612875224481665,0.13686386423726235,0.4575250307077735,0.7520538501201137,0.6051736641282752
1609.00425,scientific,Fixed-256,17,12.705882352941176,0.3302432089660536,0.09238764117745792,0.4352690354914806,0.8027666877297794,0.6489067196557137
1609.00425,scientific,Fixed-512,9,24.88888888888889,0.2932595679950383,0.08808527721299066,0.42253614005940177,0.8283683790100945,0.7096731593404098
1609.00425,scientific,Recursive-256,22,9.454545454545455,0.39508441857866605,0.14451731876893478,0.4703667831097844,0.7751000753857873,0.6208814586984718
1609.00425,scientific,Semantic-75,53,3.9245283018867925,0.6477343358268592,0.2851842141376351,0.5857811282920135,0.667465977511316,0.5667045185580936
1609.00425,scientific,RandomMatched,11,18.90909090909091,0.3407827112823725,0.12172599814154884,0.448605881717104,0.8025300556963141,0.6672398509451167
1609.00425,scientific,ShuffledNull,11,18.90909090909091,0.26054274737411603,0.07673777775330977,0.4066902780023771,0.6185119314627214,0.7000790928019385
